slug,pos,impr,networks,commission,tracked,done,last_checked,score
national-rail-train-tickets,44.0,2,-,0,NO,,,20.0
airport-parking-shop-airport-parking,32.0,1,-,0,NO,,,20.0
next-childrens-fashion,34.0,1,-,0,NO,,,20.0
aa-vehicle-inspections,61.6,5,-,0,NO,,,20.0
bt-business-mobiles,58.0,3,-,0,NO,,,20.0
affordable-mobiles-no-contract-phones,57.5,2,-,0,NO,,,20.0
ovo-energy-electricity,49.0,1,-,0,NO,,,20.0
wayfair-furniture,66.0,1,-,0,NO,,,20.0
my-car-inspections,81.0,6,-,0,NO,,,20.0
volkswagen-new-cars,85.0,3,-,0,NO,,,20.0
talktalk-broadband,70.5,2,-,0,NO,,,20.0
dragonpass-airport-lounge,73.0,1,-,0,NO,,,20.0
airport-lounges-airport-lounge,94.0,1,-,0,NO,,,20.0
admiral-car-insurance-review,44.6,1271,Admiral direct,75,YES,YES,16 August 2026,106.4
admiral-home-insurance-review,37.9,948,Admiral direct,75,YES,YES,16 August 2026,104.7
admiral-van-insurance-review,52.4,116,Admiral direct,75,YES,YES,16 August 2026,100.6
admiral-motorbike-insurance-review,35.0,51,Admiral direct,75,YES,YES,16 August 2026,100.3
aviva-travel-insurance-review,39.7,233,-,0,NO,YES,16 August 2026,71.2
saga-travel-insurance-review,47.4,239,-,0,NO,YES,16 August 2026,71.2
cazoo-cars-for-sale,37.3,187,-,0,NO,YES,15 August 2026,40.9
parkers-cars-for-sale,43.0,1,-,0,NO,YES,16 August 2026,40.0
lloyds-bank-cash-isa,49.0,659,-,0,NO,YES,15 August 2026,23.3
santander-savings-account,49.4,530,-,0,NO,YES,15 August 2026,22.6
trading-212-cash-isa,48.0,469,-,0,NO,YES,15 August 2026,22.3
moneybox-cash-isa,40.0,89,-,0,NO,YES,15 August 2026,20.4
